"aud_rank","pdf_rank","case","author","discipline","product","description"
177,796,"Roche's Acquisition of Genentech","Carliss Y. Baldwin; Bo Becker; Vincent Dessain","Finance","210040-PDF-ENG","Franz Humer, CEO of the Roche Group, must decide whether to mount a hostile tender offer for the publicly-owned shares of Roche's biotechnology subsidiary, Genentech. The case provides opportunities to analyze Roche's strategy with respect to Genentech, the pros and cons of merging the two companies with different cultures, the value of Genentech, and the tactics of a hostile tender offer."
812,797,"Hospital Corp. of America (A)","W. Carl Kester","Finance","283053-PDF-ENG","HCAs ratio of debt to total capital is approaching 70%, jeopardizing its single-A bond rating. Students must determine an appropriate target debt ratio for HCA in light of its growth objectives, its acquisition strategy and its changing regulatory environment."
813,798,"MRC, Inc. (Consolidated)","Thomas R. Piper","Finance","277123-PDF-ENG","A large diversified company must develop a strategy for a division whose performance has deteriorated due to its aging product. Alternatives range from liquidation to a major investment in a new product. The formal capital budgeting system is compared with the informal process by which projects are identified and presented. This case is a consolidation of MRC, Inc. (A) and (B) by R.W. Moore."
814,799,"Advent Israel Venture Capital Program","Paul A. Gompers; Jeffrey Anapolsky","Finance","298072-PDF-ENG","Explores the decision by Advent, an international venture capital firm, to start a fund focused on Israel. Advent must decide who to hire to run the fund and how much money to raise."
815,800,"Science Technology Co.","Thomas R. Piper","Finance","275058-PDF-ENG","The president of a medium-sized electronics company is evaluating the financial forecasts and proposed financing program submitted by the chief financial officer. The forecasts are prepared in constant dollars, on which basis the proposed financing plan seems reasonable. However, when inflation is incorporated into the forecasts, the financing need far exceeds available sources of funds, and adjustment on the operating side is necessary. The danger of relying on a single set of forecasts based on the most likely outcome is also demonstrated."
816,801,"DigaMem, Inc.","George Chacko; Eli Peter Strick; Andrew Kuhlman; Chris Smith","Finance","203002-PDF-ENG","DigaMem is a semiconductor firm with a promising new technology, but its CEO faces a difficult financing problem. He is considering issuing a new security: a floorless convertible bond, also known as a ""toxic"" convertible."
817,802,"Travelers Mortgage Securities CMO","Scott P. Mason; Sally E. Durdan","Finance","286061-PDF-ENG","Describes a series of collateralized mortgage obligations offered by Travelers Insurance. Provides a general description of the life insurance business and the role of life insurance in the capital markets. Also describes a variety of mortgage related instruments, including pass-through securities, pay-through bonds, mortgage-backed bonds, and CMOs; and outlines trends in the securitization of mortgage assets. Background on the pricing of mortgage securities and models of prepayment on mortgage instruments is included. The protagonist, an insurance company portfolio manager, wonders why Travelers is issuing this security (and retaining one class of the bonds) and considers purchasing one or more of the bond classes offered. The student should understand the yield curve arbitrage driving the issuance of CMOs, the reason Travelers undertook the transaction, and the interaction of the primary and secondary residential mortgage markets."
818,803,"KAMCO and the Cross-Border Securitization of Korean Non-Performing Loans","George Chacko; Vincent Dessain; Jacob Hook; Anders Sjoman","Finance","205037-PDF-ENG","Covers the first international nonperforming loan securitization done in Korea. The CEO of KAMCO is trying to dispose of a portfolio of nonperforming commercial loans that the organization acquired from a number of banks. A group of investment bankers have proposed securitizing the loans and selling them to institutional investors. Securitization of loans (or any other type of assets) is not common in Korea, so the CEO must think through several factors as he decides whether to accept this proposal, the most important of which is the recovery price."
819,804,"Pioneers in Colombia","Nicolas P. Retsinas; Lisa Strope","Finance","212050-PDF-ENG","In 2011, Equity International made a $75 million equity investment in Bogota-based real estate company, Terranum Development and became the first institutional real estate investor in Colombia."
820,805,"Gordon Brothers: Collateralizing Corporate Loans by Brands","Paul M. Healy; Maria Loumioti","Finance","114016-PDF-ENG","The case explores the collateralization of intellectual property in a loan agreement between a highly leveraged apparel company and a large US bank. Leveraging intangibles in the credit market is a new practice that has significantly grown over the past few years. However, estimating their liquidation value is not directly intuitive, since intangibles are highly illiquid assets and have uncertain future cash flows. Can banks reliably secure corporate loans by intellectual property, and how can they alleviate the challenges in estimating a loan-to-value ratio for this collateral?"
821,806,"Fitzpatrick Hotel Group (A)","Paul A. Gompers; Catherine Conneely","Finance","298002-PDF-ENG","Examines the issues raised in the financing of the Fitzpatrick Hotel Group, an Irish hotelier. The perspective of Paddy Fitzpatrick, founder and CEO at Fitzpatrick Group, and Niall Carroll, founder of ACT Venture Capital, are contrasted."
822,807,"Korea Stock Exchange--1998","Tarun Khanna; Krishna G. Palepu; James Jinho Chang","Finance","199033-PDF-ENG","Following a major financial crisis, the South Korean government attempted to revive the Korea Stock Exchange to spur equity investment in Korean companies. This case describes the reforms undertaken so far and the challenges that lay ahead."
823,808,"Subprime Crisis and Fair-Value Accounting","Paul M. Healy; Krishna G. Palepu; George Serafeim","Finance","109031-PDF-ENG","This case examines the challenges in implementing fair value accounting for mortgage instruments, the role of accounting in the sub-prime crisis, and proposals for revising accounting standards given the crisis."
824,809,"The Case of the Unidentified Ratios","Josh Lerner","Finance","812129-PDF-ENG","An investment banking analyst seeks to reconstruct which financial ratios go with which companies."
825,810,"NCH Capital and Univermag Ukraina","Josh Lerner; John Didiuk","Finance","807143-PDF-ENG","NCH Capital is considering whether to sell its Ukrainian company Univermag Ukraina, which it has held and built up over the past decade."
826,811,"The Deutsche Bank (A)","David A. Moss","Finance","708044-PDF-ENG","Founded in 1870 to help finance surging German exports and imports, the Deutsche Bank soon moved into domestic banking. In fact, its founders aimed to create both a commercial bank and an investment bank under one roof--that is, a ""universal bank."" By the end of the nineteenth century, the Deutsche Bank was not only the largest bank in Germany, but also a strategic actor in the broader European market and, indeed, in the world economy. Over the first half of the twentieth century, however, the bank faced a series of national crises: defeat in WWI (1914-1918), revolution in 1919, hyperinflation in 1923, economic depression in the early 1930s, the rise of Hitler in 1933, another world war in 1939, and then total defeat in 1945. At the end of WWII, the Soviets closed the Berlin headquarters of the Deutsche Bank as part of their denazification effort. Meanwhile, the United States, Britain, and France, occupying the western portion of Germany, attempted to implement a policy of economic decentralization, and broke what remained of the bank into small pieces. By 1950, facing a proposal from leading German bankers to allow the big banks to begin reconstituting themselves, the Allied powers and the new German legislature had to decide whether to accept this proposal or reject it."
827,812,"Susan Griffin: Formulation of a Long-Term Investment Strategy","Dwight B. Crane; Julia D. Stevens","Finance","203072-PDF-ENG","Susan Griffin, owner and cofounder of a small manufacturing company, is formulating a long-term investment strategy. Griffin plans to sell her $10 million company and invest the revenue. She must decide how to allocate her investment so that she can rely entirely on investment income for her financial needs, while still maintaining a comfortable standard of living. In addition, Griffin wants to be able to offer financial help to her two children and her elderly mother."
828,813,"Biltwell Shears, Inc.","Thomas R. Piper","Finance","286021-PDF-ENG","A senior loan officer is reviewing the recent performance of a company that has failed to repay its loan as scheduled. The failure results from a cyclical downturn in sales, coupled with a lag in cutting back production. Inventory risk is minimal. This case is an updated version of Cutrite Shears."
829,814,"Hostile Bid for Red October","Benjamin C. Esty; Alan Bigman","Finance","296084-PDF-ENG","Manatep Bank, a Russian investment bank, has just announced the country's first hostile tender offer for Red October, a confectionery company located in Moscow. As the chief financial officer of the target company, Yuri Yegorov must decide how to respond, how much his company is worth, and what to recommend to the board of directors. The context of the case, the nascent Russian financial system, raises a variety of interesting and complex valuation issues such as determining discount rates in countries with high inflation and unstable governments, uncertain property rights, and poor financial information. The absence of financial and institutional infrastructure provides a stark contrast to financial markets and takeovers in more developed countries."
830,815,"Kmart and ESL Investments (A)","Stuart C. Gilson; Sarah L. Abbott","Finance","209044-PDF-ENG","A major bankrupt retailer is poised to emerge from Chapter 11. Two activist hedge funds (""vulture investors"") will own over 50% of reorganized Kmart's common stock, based on prior investments in Kmart's debt claims, and an infusion of new equity financing. The chapter 11 process has generated both costs and benefits for the company. Its future profitability, and the value of the reorganized business, are both highly uncertain."
831,816,"Dressen","Thomas R. Piper; Jeremy Cott","Finance","200041-PDF-ENG","Divisional management must decide whether to support a leveraged buyout by a private equity group and, if so, what percent of ownership should go to the various partners involved. The appropriateness of the financing structure and the value of the equity depend on the sustainability of the turnaround effected less than one year earlier."
832,817,"Dell Computer Corp.","Peter Tufano; Jonathan S. Headley","Finance","294051-PDF-ENG","Tina Chen, chief investment officer of a large insurance company, hears accusations by a Kidder Peabody equity research analyst that Dell Computer Corp. might be improperly accounting for what he suspects are large foreign exchange losses resulting from speculation. She must recommend what position to take in Dell's stock and attempts to understand the various financial instruments and strategies Dell could have used in its foreign exchange operations. She must also understand how Dell accounted for its foreign exchange transactions and make some sense of the conflicting views of outside experts on the controversy."
833,818,"Foreign Exchange Hedging Strategies at General Motors: Competitive Exposures","Mihir A. Desai; Mark F. Veblen","Finance","205096-PDF-ENG","How can a multinational firm analyze and manage currency risks that arise from competitive exposures? General Motors has a substantial competitive exposure to the Japanese yen. Although the risks GM faces from the depreciating yen are widely acknowledged, the company's corporate hedging policy does not provide any guidelines on managing such competitive exposures. Eric Feldstein, treasurer and vice-president of finance, has to quantify GM's yen exposure and recommend a way for GM to manage the risks that arise from its competitive exposure. Students must analyze the impact of a yen depreciation on GM sales and profits. A rewritten version of an earlier case."
834,819,"ProTech, Inc.","Thomas R. Piper; Susan P. Ehrlich","Finance","289054-PDF-ENG","A company is considering the elimination of a product line. As part of that consideration, it must develop possible strategies for closing the division, and identify the economic and non-economic implications of the strategy. The situation is complicated by the company's need for an infusion of equity capital."
835,820,"General Growth Properties and Pershing Square Capital Management","Arthur I Segel; Stuart C. Gilson; Thomas Langer; Zubin Malkani; John Mascari","Finance","212109-PDF-ENG",""
836,821,"RJR Nabisco","Richard S. Ruback","Finance","289056-PDF-ENG","Gives students the opportunity to explore issues facing the board of directors in a leveraged buyout. RJR Nabisco is valued under different operating strategies and the source of gains in leveraged buyouts is stressed."
837,822,"Innovation at the Treasury: Treasury Inflation-Protection Securities (A)","Kenneth A. Froot; Peter Hecht; Christopher E.J. Payton","Finance","204112-HCB-ENG","This case is available in only hard copy format (HBP does not have digital distribution rights to the content). As a result, a digital Educator Copy of the case is not available through this web site. In 1997, the U.S. Treasury was deciding whether to proceed with a proposal to issue inflation-indexed bonds. This case explores the challenges facing innovation in the financial markets as the Treasury tries to determine whether to introduce Treasury Inflation-Protection Securities."
838,823,"Massachusetts General Hospital and the Enbrel Royalty","David S. Scharfstein; Darren R. Smart","Finance","206075-PDF-ENG","Massachusetts General Hospital is considering selling its royalty interest in Enbrel, Amgen's blockbuster drug for the treatment of rheumatoid arthritis. In assessing whether to sell, and at what price, the hospital must determine its value to a potential buyer as well as its own value of the royalty income."
839,824,"Valuing a Cross-Border LBO: Bidding on the Yell Group","Mihir A. Desai; Mark F. Veblen; Paolo Notarnicola","Finance","204033-PDF-ENG","A team of private equity investors must value the leveraged buyout of a Yellow Pages business that operated in both the United States and the United Kingdom. In the process, they must wrestle with issues of how to conduct cross-border valuations and how to value a stable cashcow business along with a growth business. The case analyzes the economics and incentives of carried interest and compares different valuation methods--Capital Cash Flow and Free Cash Flow. To obtain executable spreadsheets (courseware), please contact our customer service department at custserv@hbsp.harvard.edu."
840,825,"Donald Salter Communications, Inc.","Stuart C. Gilson; Jeremy Cott","Finance","295114-PDF-ENG","A new CEO is hired to manage the turnaround of a family-owned newspaper publisher. In a departure from previous management, he implements a new compensation scheme that explicitly ties executive pay to market-value-based measures of firm performance. Because the company is not publicly traded, payoffs under the executive compensation plan are based on the firm's appraised value. Determining a value for this company (including any value created by the turnaround manager) is a complicated exercise. Additional complications arise because the firm's value also determines potential cash distributions to family members who wish to sell their shares back to the company. Certain family goals may also be inconsistent with the CEO's objective of maximizing the present value of the firm's assets."
841,826,"Lending Club: Time to Join?","David S. Scharfstein; Adi Sunderam; John Ference; Philip Roane","Finance","214046-PDF-ENG",""
842,827,"Times Mirror Co. PEPS Proposal Review","Peter Tufano; Cameron Poetzscher","Finance","296089-PDF-ENG","Times Mirror Co. (TMC) owns a substantial block of Netscape common stock purchased prior to Netscape's IPO, on which it has substantial unrealized gains. TMC is restricted from selling the stock in a public offering and is therefore considering a proposal by Morgan Stanley to issue Premium Equity Participating Securities (PEPS) to monetize its Netscape holdings. These PEPS would pay interest quarterly and be redeemable in five years at a price tied to the value of Netscape shares, subject to certain formulas and call provisions effectively apportioning the upside in Netscape stock between TMC and the PEPS investors. The tax treatment of the PEPS, while unclear, is of significant importance."
843,828,"Spectrum Equity Investors, L.P.","Jeffry A. Timmons; Rebecca Voorheis; Elise Martin","Finance","295021-PDF-ENG","Brion Applegate and Bill Collatos had already started a fund-raising campaign for their new venture-capital fund when the principals of a prestigious Wall Street investment bank asked them to become the two senior partners of an in-house $150 million fund. The case analyzes: (1) the venture capital investing process, (2) the experience, networks, and timing of starting a specialized fund, (3) the written prospectus of the new fund, and (4) the decisions and issues confronting Applegate and Collatos."
844,829,"Toward Golden Pond (A)","Nicolas P. Retsinas; G.A. Donovan; Nancy Hua Dai; Justin Ginsburgh","Finance","210045-PDF-ENG","The Rong-D companies must decide whether to build a luxury senior housing development in Chengdu, China. Demographics are very encouraging for this new product type, but there are numerous cultural, market, financial and political risks that they must assess before moving forward."
845,830,"Transportation Displays, Inc. (C): The Case for a Preemptive Restructuring","Stuart C. Gilson; Joel T. Schwartz; Steven M. Silver; David I. Stemerman","Finance","296035-PDF-ENG","A company nears the end of a long multiyear turnaround and now must consider how to ""cash out"" so its management can realize a financial return on investment. The privately held company has several options, including a leveraged ESOP and a leveraged recapitalization."
846,831,"Nashton Partners and its Search Fund Process","Richard S. Ruback; Royce Yudkoff","Finance","212006-PDF-ENG","Nashton Partners was a search fund founded by two HBS MBA's that raised $500,000 to finance a search for a company that they could purchase and then run for the next five to ten years. The case examines the search fund structure, the two-year search, and two potential acquisitions."
847,832,"Restructuring at Nova Chemical Corporation Abridged","Malcolm P. Baker; Scott P. Mason","Finance","213075-PDF-ENG",""
848,833,"Tad O'Malley: The Investment Conundrum","G. Felda Hardymon; Josh Lerner; Ann Leamon","Finance","808125-PDF-ENG","Tad O'Malley has just started as an associate with Empire Investment Group. He must evaluate three investment opportunities facing the big leveraged buyout firm. All are global, but each pertains to different offices and each deal has different strengths and weaknesses. Which should he recommend to the partners for additional resources and what does a recommendation mean for his career?"
849,834,"Interco","Scott P. Mason; Susan L. Roth","Finance","291033-PDF-ENG","Interco has been advised by Wasserstein Perella to reject a $70 per share offer for the company. The case deals with the various types of analysis employed by Wasserstein Perella and allows a discussion of the actions of Interco's board as well as Wasserstein Perella."
850,835,"Anasazi: Exclusive Salon Products, Inc.","William A. Sahlman; Jason Green","Finance","295111-PDF-ENG","Anasazi, a hair-care products start-up based in the Midwest, is having growing pains as it tries to develop a new distribution model for the professional hair salon industry. The company has completed several rounds of venture financing but, to continue, needs to raise more capital earlier than expected. It goes through a process of refining and refocusing its strategy to raise the new funds."
851,836,"Aberlyn Capital Management: July 1993","Josh Lerner; Peter Tufano","Finance","294083-PDF-ENG","Aberlyn Capital Management, a venture leasing firm specializing in providing capital to biotechnology firms, proposes to introduce a new product. Aberlyn will base a lease on an intangible product: the patent of a biotechnology firm. This poses a series of short and longer run challenges."
852,837,"Jason Bosworth","William J. Poorvu; John H. Vogel Jr.","Finance","396328-PDF-ENG","Jason Bosworth is a real estate investor who wants to purchase apartments for a $300 million limited partnership in which he is the general partner. This case is part of a negotiation game simulation that includes Sunshine Villas, Silver Lane Apartments, and Major Insurance Co."
853,838,"A Slice of the Pie: Ruby Collins and Tenants in Common","John D. Macomber; Kristian Peterson","Finance","211008-PDF-ENG","A securitized small real estate investment vehicle fails and the many individual owners have to decide how to manage or dispose of the asset. This case follows Ruby Collins, a small investor, through the logic of Section 1031 Like Kind Exchanges as well as the consideration of Tenant in Common ownership. Tenancy in Common has some attractive aspects but its regulation falls between a security and a real estate investment. The risk and control characteristics also vary. This case explores both the valuation of the property and the logistical issues around managing it, and also the relationships between individuals who now find themselves business partners with no prior familiarity with each other."
854,839,"Berkshire Partners: Purchase of Rival Company (A)","Nabil N. El-Hage; Andre Baillargeon; Stephen Parks","Finance","208023-PDF-ENG","Berkshire Partners, a private equity firm in Boston, was pleased with their recent investment in the Holmes Group, a home comfort consumer electronics company. The portfolio company was exceeding key financial targets and Berkshire Partners was confident that it would be another successful investment. Holmes' management team then suggested acquiring a kitchen electronics company, the Rival Company. The management of Holmes believed that Rival would complement their existing portfolio of products and it was the perfect time to buy due to a depressed stock price caused by declining earnings. The investment team at Berkshire now had to decide if the possible returns from an investment in Rival were enough to risk the successful investment in Holmes, or if Rival could be acquired without risking Berkshire's investment in Holmes."
855,840,"Protege Partners: The Capacity Challenge","Randolph B. Cohen; Brian J. Delacey","Finance","205100-PDF-ENG","In February 2005, Jeffrey Tarrant (HBS '85) and Ted Seides (HBS '99) considered their strategy for Protege Partners, founded in July 2002 as a fund of hedge funds (FOHF) specializing in small hedge funds. Protege's assets under management had grown to $1.1 billion, and Protege's development almost exactly mirrored the founders' expectations from 2001. Although the founders saw benefits to growth, they remained committed to the integrity of managing a small fund and wanted to continue generating superior performance for their clients. Should they close the Protege FOHF to new investors and focus on managing the existing assets as they originally intended? Could they continue to increase assets under management without taking on more top-level professionals? Should they hire additional analytical staff to help them grow Protege? Should they leverage Protege's special relationships with seeded managers to create a multistrategy hedge fund? Perhaps most important, how would their valued clients react to change?"
856,841,"Cinco de Mayo","Arthur I Segel; Nicolas P. Retsinas; David Margain; Andres Caldera","Finance","206115-PDF-ENG","In 2004, Adrian Pandal is seeking financing for a residential conversion of a building in Mexico City's historic center district. He must convince potential lenders that the project is viable and that it makes sense to bet on the future potential of an area that, until recently, has not attracted substantial real estate investment."
857,842,"Congoleum Corp. (Abridged)","William E. Fruhan","Finance","287029-PDF-ENG","Describes the development and terms of the largest leveraged buyout up to the date of the case. The main problem is to value the positions of the various participants: lenders, equity holders, investment bankers, and management. This is an abridged version of an earlier case by D.W. Mullins, Jr."
858,843,"Dividend Policy at Linear Technology","Malcolm P. Baker; Alison Berkley Wagonfeld","Finance","204066-PDF-ENG","In 1992, Linear Technology, a designer and manufacturer of analog semiconductors, initiated a dividend. The firm increased its dividend by approximately $0.01 per share each year thereafter. In fiscal year 2002, Linear experienced its first significant drop in sales since its 1986 initial public offering. Sales dropped by 47%, and profits fell by 54%. In the spring of 2003, CFO Paul Coghlan is deciding whether to recommend yet another increase in dividends to lift Linear's payout ratio to 33.1%, high by the standards of technology firms."
859,844,"R.J. Reynolds International Financing","W. Carl Kester; William B. Allen","Finance","287057-PDF-ENG","Reynolds must source a substantial portion of the financing of its Nabisco acquisition in offshore bond markets. Morgan Guaranty has proposed a yen/dollar dual currency Eurobond that could be hedged into dollars. This structure is compared to Eurodollar Bonds, Euroyen Bonds, and Euroyen Bonds swapped or hedged into dollars."
860,845,"American Chemical Corp.","William E. Fruhan; John P. Goldsberry","Finance","280102-PDF-ENG","A large chemical manufacturer divests a plant that is acquired by a small specialty chemicals manufacturer. The acquisition decision is viewed from the vantage point of the small specialty chemicals manufacturer."
861,846,"BioTransplant, Inc.: Initial Public Offering, January 1996","Paul A. Gompers; Alexander Tsai","Finance","297095-PDF-ENG","Examines the decision to go public. BioTransplant is an early stage biotechnology company that must decide how to finance its research and development. The pros and cons of public offerings are analyzed versus alternative financing sources."
862,847,"DermaCare: Zapping Zits Directly","Richard G. Hamermesh; Lauren Barley","Finance","808064-PDF-ENG","DermaCare has developed an innovative new product for the treatment of acne that they hope to sell to consumers via direct-response television. The unconventional nature of the product and its distribution has led the company to seek angel financing. The Silicon Valley Band of Angels has agreed to finance the company and has submitted a proposed term sheet. Recently, however, a venture capital (VC) group has submitted a competing term sheet. The company must decide whether to accept financing from the Angels or the VC group."
863,848,"Flagstar Companies, Inc. (Abridged)","Stuart C. Gilson","Finance","206076-PDF-ENG","A large restaurant chain undergoes a leveraged buyout and subsequent recapitalization. Financial and operating problems at the company force it to consider various restructuring options, including a prepackaged Chapter 11 exchange offer to its public bondholders. Two investment bankers hired by senior and junior creditors present competing company valuations to the bankruptcy court that differ by $700 million."
864,849,"Mylan Laboratories' Proposed Merger with King Pharmaceutical","Lucy White; Matt Kozlowski","Finance","214078-PDF-ENG","Perry Capital owns shares in King and, to facilitate approval of the merger, buys shares in Mylan, whilst hedging out its economic exposure to Mylan's share price using derivatives. The price at which Mylan proposes to merge with King is generous to King shareholders, but the merger does not look likely to be approved by Mylan shareholders, who must vote upon it. If Perry can swing the voting in favor of the deal, it will gain handsomely on its King shares without facing any corresponding losses on its Mylan holdings since those are hedged. Carl Icahn, another shareholder in Mylan, opposed the deal and sued Perry for alleged vote buying."
865,850,"Home Shopping Network, Inc. (Abridged)","Timothy A. Luehrman; Paul Asquith","Finance","295135-PDF-ENG","Home Shopping Network invented the video home shopping industry. It had immediate success in both the product and capital markets, which quickly drew imitators. This case describes the situation as of January 1986, when the company must decide how to sustain successes in both markets. Students must discuss the proper valuation of the firm, proper financing strategy, possible future product lines, and how to deal with competition."
866,851,"Economy Shipping Co.","Pearson Hunt","Finance","210101-PDF-ENG","The situation requires a decision to repair a steam river boat, to substitute a diesel-powered boat, or to lease a diesel boat."
867,852,"Valuing Project Achieve","Mihir A. Desai; Kathleen S. Luchs","Finance","201080-PDF-ENG","Project Achieve is a start-up providing information management solutions for schools. Its founders see a need for software both to manage the volumes of information necessary to administer a school and to connect parents, teachers, and students in a more effective way. Originally funded by angel investors, Project Achieve is raising its first formal round of financing and needs to establish a firm valuation. This case outlines the economics of the business and provides the necessary background figures to build the business model and arrive at a valuation. Explores quantitative considerations of venture financing: 1) value neutrality of equity issuance is illustrated; 2) cost of capital is computed from raw return series, and the appropriate discount rate is selected based on comparables; 3) decision trees are used to highlight the importance of probabilistic thinking; and (4) subscriber models are compared with annual free cash flow models both for determining financial value and as decision-making tools for business choices. In addition, provides a setting to discuss the more qualitative issues involved in choosing investors. In particular, the founders are comparing two options: an infusion of additional capital from current and new investors or an investment from a potential strategic partner. Each option has very different implications for the direction of the business going forward."
879,853,"Elkay Plumbing Products Division","Robert S. Kaplan","Finance","110007-PDF-ENG","The vice president of sales learns that the most profitable 1% of the division's customers generate 100% of profits, and that two of the division's largest customers lose 50% of profits. The division has just finished a project to install a time-driven activity-based cost system that traces costs directly to the processes used to produce, sell and deliver a wide variety of stainless steel sinks to a diverse customer base. Given the division's high variety of products and customers (which includes wholesalers, retailers, contractors, and distributors), the VP of sales wanted a much more accurate cost system so that he could conduct difficult but fact-based negotiations with customers. The case describes the design and implementation of the new cost and profit measurement system. It documents acceptance and decisions made by managers after seeing the enormous dispersion of profits among their products and customers."
869,854,"Kennecott Copper Corp.","William E. Fruhan","Finance","278143-PDF-ENG","Involves a $550 million cash tender offer by Kennecott Copper Corp. for all of the outstanding common shares of the Carborundum Corp."
870,855,"Transportation Displays, Inc. (D): Exiting from a Successful Restructuring","Stuart C. Gilson; Vincent Hemmer; Eric Rahe; David Shorrock; Steve Voorhis","Finance","297085-PDF-ENG","Following a successful corporate turnaround and, more recently, a leveraged recapitalization, management of a highly profitable, fast--growing outdoor advertising company must consider alternative ways to harvest cash flow from the company without jeopardizing the turnaround or incurring significant tax liabilities."
871,856,"Genzyme Corp.: A Financing History","Timothy A. Luehrman; Andrew D. Regan","Finance","294005-PDF-ENG","Genzyme Corp.'s financing history is unusual compared to most biotech companies. This case presents the sequence of financings employed by Genzyme, along with the product--market and corporate-development strategies adopted by Henri Termeer, Genzyme's CEO. As such, the case permits students to evaluate the sequence of financings as a ""program"" rather than a series of unrelated deals and to consider them in light of the business strategy."
872,857,"Texas Gulf Sulphur: The Timmins Ontario Mine","Henry B. Reiling; Maria M. Camargo","Finance","204114-PDF-ENG","Employees, officers, and directors of Texas Gulf Sulphur acquired or tipped off others to acquire common stock or options before and concurrent with the announcement of a major discovery of ore. The question is whether any of these acquisitions violated either federal securities law, state fiduciary law, or ethical standards."
874,858,"Contractual Innovation in the UK Energy Markets: Enron Europe, The Eastern Group, and the Sutton Bridge Project","Benjamin C. Esty; Peter Tufano","Finance","200051-PDF-ENG","In December 1996, Enron Europe and The Eastern Group were on the verge of signing an innovative transaction in the utility industry. Eastern was going to buy a long-term option to convert natural gas into electricity from Enron, thereby giving it the economic right to operate a ""virtual"" power station. This structure was vastly different from the traditional independent power plant (IPP) structure, and the executives involved had to convince their superiors of its wisdom before they could proceed. This case was jointly written for Large-Scale Investment and Corporate Financial Engineering, and it covers topics related to both project finance and financial engineering. It illustrates a new paradigm in the electric power industry: the creation of virtual power stations backed by physical power stations with merchant exposure. It also illustrates how physical operations (constructing and operating a power plant) can be used to offset contractual obligations and trading exposures."
875,859,"ABRY Partners and F+W Publications","Nabil N. El-Hage; Christopher E.J. Payton","Finance","207010-PDF-ENG","After acquiring F+W Publications from a rival private equity firm, ABRY Partners became increasingly convinced that they had been deceived by the sellers about the profitability of the company. ABRY must determine whether they were deliberately misled, what courses of action are available, and which they should pursue. Considerations include a mix of legal, ethical, and business issues."
876,860,"General Motors U.S. Pension Funds","Luis M. Viceira; Helen H. Tung","Finance","206001-PDF-ENG","In June 2003, General Motors Corp. (GM) successfully marketed the largest corporate debt offering in U.S. history, worth $17.6 billion. The offering included $13.6 billion worth of debt denominated in dollars, euros, and pounds and $4 billion dollars denominated in convertibles. GM announced that it would use the majority of these proceeds to shore up its heavily underfunded U.S.-defined pension plans. GM considered investing the entire contribution to its U.S. pension funds coming from the debt offering not in traditional investment grade bonds or stocks, but in a broad category GM called ""alpha."" GMAM believed this would help meet its new target annual return of 9%, reduce the probability of a negative return in any given year from 20% to 10%, and reduce the volatility of plan assets by 40%."
877,861,"Morgan Stanley in China","Scott P. Mason; Diane Long; Barbara B. Kyrillos","Finance","297010-PDF-ENG","The Asian economy, particularly China's, is experiencing explosive growth. China needs capital to fund the growth, and this presents a tremendous opportunity for an investment bank that can penetrate the market. Morgan Stanley establishes a joint venture with the China Construction Bank and three other partners to form China's first investment bank. The case discusses problems associated with establishing joint ventures and penetrating into developing markets."
878,862,"Goodyear Tire & Rubber Co.--1986","Timothy A. Luehrman","Finance","295033-PDF-ENG","Goodyear's transition to radial tires from bias and bias-belted tires was difficult and expensive, but successful. Afterward, in 1983, the company embarked on a major diversification program. Three years later, after investments exceeding $1 billion in oil and gas pipelines and reserves, Goodyear was attacked by a corporate ""raider"" and is considering abandoning its diversification program in favor of a highly leveraged restructuring."
880,863,"Scudder, Stevens & Clark","Jay O. Light; James E. Sailer","Finance","294026-PDF-ENG","A large multi-product investment counseling firm considers its positioning in the mutual fund business."
881,864,"Aderans","Rakesh Khurana; Robin Greenwood; Masako Egawa","Finance","209090-PDF-ENG","Steel Partners is a U.S.-based hedge fund that has made a large investment in Japan-based wigmaker Aderans. The case is set at the close of the annual meeting in May 2008, when shareholders have voted against all incumbent board members. Steel Partners must act quickly. The case serves as an overview of corporate governance issues in Japan, as well as describing the costs and benefits of the ""stakeholder"" view of corporate governance."
882,865,"Canadian Pacific's Bid for Norfolk Southern","Benjamin C. Esty; E. Scott Mayfield","Finance","216057-PDF-ENG","In December 2015, Canadian Pacific Railroad (CPR) has just made its third bid to acquire Norfolk Southern Corporation (NSC), one of the largest railroads in the United States. Having rejected the prior offers, NSC's CEO James Squires and the NSC board must now value the current offer including the projected merger synergies as well as a recently-added contingent value right (CVR) designed to ""sweeten"" the offer, and decide how to respond."
883,866,"ISS A/S (A)","Clayton Rose","Finance","308054-PDF-ENG","Provides the opportunity to examine the nature and extent of a company's responsibilities to its bondholders, and to develop an enhanced understanding of the challenges in managing contractual obligations, and circumstances under which business leaders might agree to terms outside the contract. Here, the context is a ""going private"" transaction in Europe, where the financing plan called for the addition to the company's balance sheet of a significant amount of new debt and a reshaping of the capital structure. While leveraged buyouts had been used in Europe for several years, this was likely the first LBO done with a company that had publicly traded investment grade debt outstanding. The increased debt from the deal would increase the risk to the company and to the existing bonds, and the bonds' prices would fall significantly as a result. Focuses on how the private equity buyers might consider the reaction of bondholders to the structure of the acquisition, and on their possible response. Students need to evaluate the transaction and its effect on the bonds, understand the principles governing contractual duties (and how they differ from fiduciary obligations), and account for a business and social culture outside the United States."
